id,aliaskuerzel,aliasname,institutskuerzel
203,279,anatomie,Anatomie,zentrumanatomie
204,280,staatswissbib,Bibliothek des Staatswissenschaftlichen Seminars,volkswirtschaftbib
205,282,ostasiachina,Ostasiatisches Seminar - China-Studien,chinastudien
206,283,ostasiajapan,Ostasiatisches Seminar - Japanologie,japanologie
207,284,internatinvestitionsrecht,Internationales Investitionsrecht,internationalilcc
208,285,zahnchirurg,Zahnärztliche Chirurgie und Mund-, Kiefer- und Gesichtschirurgie,mundkgchirurgie
209,286,notaufnahme,Notaufnahme,zentralenotaufnahme
210,287,viszeral,Viszeral- und Gefäßchirurgie,allgemeinchirurgie
211,288,chirurgie,Chirurgie,allgemeinchirurgie
212,289,pressemed,Presse und Kommunikation (Klinikum),kommunikationmed
213,290,mcm,MCM - Projekt Migration Campus Management,projektmigracampus
214,291,competenceelearning,CompetenceCenter E-Learning,elearning
215,293,musikethno,Musikethnologie, Europäische,ethnomusik
